SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;SecondaryTask;SecondaryTaskInfo;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #256;12.449;Audio;None;;;;None;;23.2822;135.7618;9.72998;0;9.72998;0
Subject #256;12.570;Audio;None;;;;None;;23.52836;137.1975;9.72998;0;9.72998;0
Subject #256;12.671;Audio;None;;;;None;;23.73305;138.3912;9.72998;0;9.72998;0
Subject #256;12.776;Audio;None;;;;None;;23.94585;139.6322;9.72998;0;9.72998;0
Subject #256;12.884;Audio;None;;;;None;;24.16614;140.9169;9.72998;0;9.72998;0
Subject #256;12.987;Audio;None;;;;None;;24.37356;142.1265;9.72998;0;9.72998;0
Subject #256;13.106;Audio;None;;;;None;;24.61557;143.5379;9.72998;0;9.72998;0
Subject #256;13.224;Audio;None;;;;None;;24.85486;144.9334;9.72998;0;9.72998;0
Subject #256;13.324;Audio;None;;;;None;;25.05837;146.1203;9.72998;0;9.72998;0
Subject #256;13.446;Audio;None;;;;None;;25.3065;147.5673;9.72998;0;9.72998;0
Subject #256;13.573;Audio;None;;;;None;;25.56277;149.0619;9.72998;0;9.72998;0
Subject #256;13.684;Audio;None;;;;None;;25.78675;150.3681;9.72998;0;9.72998;0
Subject #256;13.788;Audio;None;;;;None;;25.99809;151.6006;9.72998;0;9.72998;0
Subject #256;13.908;Audio;None;;;;None;;26.24099;153.0172;9.72998;0;9.72998;0
Subject #256;14.032;Audio;None;;;;None;;26.49417;154.4937;9.72998;0;9.72998;0
Subject #256;14.151;Audio;None;;;;None;;26.73559;155.9016;9.72998;0;9.72998;0
Subject #256;14.272;Audio;None;;;;None;;26.98055;157.3302;9.72998;0;9.72998;0
Subject #256;14.378;Audio;None;;;;None;;27.19437;158.5772;9.72998;0;9.72998;0
Subject #256;14.500;Audio;None;;;;None;;27.4418;160.0201;9.72998;0;9.72998;0
Subject #256;14.602;Audio;None;;;;None;;27.64937;161.2307;9.72998;0;9.72998;0
Subject #256;14.722;Audio;None;;;;None;;27.89251;162.6486;9.72998;0;9.72998;0
Subject #256;14.845;Audio;None;;;;None;;28.14332;164.1113;9.72998;0;9.72998;0
Subject #256;14.965;Audio;None;;;;None;;28.38667;165.5305;9.72998;0;9.72998;0
Subject #256;15.086;Audio;None;;;;None;;28.63051;166.9526;9.72998;0;9.72998;0
Subject #256;15.204;Audio;None;;;;None;;28.86996;168.3491;9.72998;0;9.72998;0
Subject #256;15.322;Audio;None;;;;None;;29.10972;169.7473;9.72998;0;9.72998;0
