SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;EventInfo;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #146;54.943;Audio;Left;;Left;;;1.455.699;3.563.448;1.455.699;3.563.448
Subject #146;55.043;Audio;Left;;Left;;;1.309.563;497.777;1.309.563;497.777
Subject #146;55.151;Audio;Left;;Left;;;1.182.319;1.215.058;1.182.319;1.215.058
Subject #146;55.254;Audio;Left;;Left;;;1.173.573;1.261.632;1.173.573;1.261.632
Subject #146;55.359;Audio;Left;;Left;;;1.173.573;1.261.632;1.173.573;1.261.632
Subject #146;55.477;Audio;Left;;Left;;;1.173.573;1.261.632;1.173.573;1.261.632
Subject #146;55.588;Audio;Left;;Left;;;1.109.563;1.114.252;1.109.563;1.114.252
Subject #146;55.694;Audio;Left;;Left;;;952.975;1.604.171;952.975;1.604.171
Subject #146;55.812;Audio;Left;;Left;;;8.331.146;2.376.763;8.331.146;2.376.763
Subject #146;55.917;Audio;Left;;Left;;;8.302.418;2.433.084;8.302.418;2.433.084
Subject #146;56.035;Audio;Left;;Left;;;8.638.638;2.201.323;8.638.638;2.201.323
Subject #146;56.151;Audio;Left;;Left;;;1.038.296;1.384.818;1.038.296;1.384.818
Subject #146;56.252;Audio;Left;;Left;;;1.191.835;5.647.844;1.191.835;5.647.844
Subject #146;56.367;Audio;Left;;Left;;;1.267.569;3.561.884;1.267.569;3.561.884
Subject #146;56.472;Audio;Left;;Left;;;1.269.319;3.555.331;1.269.319;3.555.331
Subject #146;56.587;Audio;Left;;Left;;;1.263.599;3.545.502;1.263.599;3.545.502
Subject #146;56.696;Audio;Left;;Left;;;1.180.042;3.408.033;1.180.042;3.408.033
Subject #146;56.814;Audio;Left;;Left;;;1.078.371;3.245.016;1.078.371;3.245.016
Subject #146;56.928;Audio;Left;;Left;;;1.072.459;3.197.239;1.072.459;3.197.239
Subject #146;57.037;Audio;Left;;Left;;;1.071.315;3.202.688;1.071.315;3.202.688
Subject #146;57.142;Audio;Left;;Left;;;1.053.649;3.298.703;1.053.649;3.298.703
Subject #146;57.251;Audio;None;Timeout;None;Timeout;;1.034.594;3.428.143;1.034.594;3.428.143
Subject #146;57.353;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;57.457;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;57.599;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;57.702;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;57.817;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;57.919;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
